Frame,qpos_LinkN0,qvel_LinkN0,qpos_LinkN1,qvel_LinkN1,qpos_LinkN2,qvel_LinkN2,qpos_LinkN3,qvel_LinkN3,qpos_LinkN4,qvel_LinkN4,qpos_LinkN5,qvel_LinkN5,qpos_LinkN6,qvel_LinkN6,qpos_LinkN7,qvel_LinkN7
38,0.0,0.0,0.0,0.0,-0.8401755095,-0.04440879822,0.0,0.0,-1.01728332,-0.3653783798,0.0,0.0,-0.7787591815,0.0,1.397126913,0
39,0.0,0.0,0.0,0.0,-0.8428147435,-0.06334161758,0.0,0.0,-1.027194381,-0.237865448,0.0,0.0,-0.7787591815,0.0,1.397126913,0
40,0.0,0.0,0.0,0.0,-0.8464196324,-0.08651733398,0.0,0.0,-1.030733347,-0.08493518829,0.0,0.0,-0.7787591815,0.0,1.397126913,0
41,0.0,0.0,0.0,0.0,-0.8553013802,-0.2131619453,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
42,0.0,0.0,0.0,0.0,-0.8722411394,-0.4065542221,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
43,0.0,0.0,0.0,0.0,-0.8951206207,-0.5491075516,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
44,0.0,0.0,0.0,0.0,-0.9218217134,-0.6408262253,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
45,0.0,0.0,0.0,0.0,-0.9502263665,-0.6817116737,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
46,0.0,0.0,0.0,0.0,-0.9782163501,-0.6717596054,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
47,0.0,0.0,0.0,0.0,-1.003673434,-0.6109700203,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
48,0.0,0.0,0.0,0.0,-1.024479628,-0.4993486404,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
49,0.0,0.0,0.0,0.0,-1.038516521,-0.3368854523,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
50,0.0,0.0,0.0,0.0,-1.043666244,-0.1235933304,0.0,0.0,-1.030733347,0.0,0.0,0.0,-0.7787591815,0.0,1.397126913,0
